Id,Label,Candidate,Description
SBG,StarburstG,,Starburst Galaxy
SCG,SuperClG,SC?,Supercluster of Galaxies
SFR,StarFormingReg,,Star Forming Region
sg*,Supergiant,sg?,Evolved Supergiant
sh,HIshell,,Interstellar Shell
smm,smmRad,,Sub-Millimetric Source
SN*,Supernova,SN?,SuperNova
SNR,SNRemnant,SR?,SuperNova Remnant
St*,Stream,,Stellar Stream
SX*,SXPheV*,,SX Phe Variable
Sy*,Symbiotic*,Sy?,Symbiotic Star
Sy1,Seyfert1,,Seyfert 1 Galaxy
Sy2,Seyfert2,,Seyfert 2 Galaxy
SyG,Seyfert,,Seyfert Galaxy
TT*,TTauri*,TT?,T Tauri Star
ULX,ULX,UX?,Ultra-luminous X-ray Source
UV,UV,,UV-emission Source
V*,Variable*,V*?,Variable Star
var,Variable,,Variable source
vid,Void,,Underdense Region of the Universe
WD*,WhiteDwarf,WD?,White Dwarf
WR*,WolfRayet*,WR?,Wolf-Rayet
WV*,Type2Cep,WV?,Type II Cepheid Variable
X,X,,X-ray Source
XB*,XrayBin,XB?,X-ray Binary
Y*O,YSO,Y*?,Young Stellar Object
