"Proper Name","Designation","HIP","Bayer ID","Constellation","Origin","Ethnic-Cultural_Group_or_Language","Reference","Additional info, e.g. constellation","Date of Adoption"
"Algenib","HR 39","1067","γ Peg","Peg","From the sci-A name al-janb, ""the Side,"" for α Per. Wrongly transferred to γ Peg in Renaissance times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Pegasus","30/06/2016"
"Algieba","HR 4057","50583","γ1 Leo","Leo","Applied in recent times from the ind-A lunar mansion name al-jabha ""the Forehead,"" for ζ, γ, η, and α Leo, associated with the ind-A asterism al-asad.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Leo","20/07/2016"
"Algol","HR 936","14576","β Per","Per","Applied in medieval times from an abbreviation of its sci-A name ras al-ghul ""the Demon's Head"" (for Ptolemy's Gorgon-head). ""Algol"" is one of the oldest Arabic star names applied in the West, from the end of the 10th century A.D.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Perseus","30/06/2016"
"Algorab","HR 4757","60965","δ Crv","Crv","From an abbreviation of the sci-A name janab al-ghurab, ""the Raven's Wing,"" for γ Crv. Transferred to δ Crv in Renaissance times (both γ and δ were on the Raven's wings in the Almagest).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Corvus","20/07/2016"
"Alhena","HR 2421","31681","γ Gem","Gem","Applied in recent times from the ind-A lunar mansion name al-bana, possibly meaning ""the Mark on the Neck of a Camel,"" for γ and ξ Gem, or alternatively for γ, ξ, η, μ, and v Gem.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Gemini","20/07/2016"
"Alioth","HR 4905","62956","ε UMa","UMa","Ultimately from its ind-A name al-jaun, ""the Black Horse, or Bull,"" which became corrupted even in Arabic sources (where some of the corruptions carried other meanings). For example, in the Arabic manuscript of the Almagest that was translated into Latin in 1175 A.D., this name of ε UMa had apparently been miswritten as al-jauza or al-jauza (the latter being identical to the sci-A name for Orion and Gemini). Whatever was read in this Arabic manuscript was transliterated into Latin as alioze. In subsequent Latin copies, this name was further corrupted to aliore, Alcor, Alioth, etc. Since late medieval times, ""Alioth"" became the preferred name for ε UMa.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ursa Major","30/06/2016"
"Aljanah","HR 7949","102488","ε Cyg","Cyg","","--","--","Cygnus","30/06/2016"
"Alkaid","HR 5191","67301","η UMa","UMa","Applied with various spellings since medieval times, from its ind-A name al-qa'id, ""the Leader"" (probably as leader of the Daughters of the Bier).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ursa Major","30/06/2016"
"Alkalurops","HR 5733","75411","μ Boo","Boo","The formation of this name begins with one of the words used by Ptolemy to describe this star in the Almagest: κολλόροβον, ""club"", rarely used as ""sphepherd's staff"". This word was transliterated into Arabic as qulurubus, and hence into Latin as calurus. Then in Renaissance times, the derivation of calurus was mistakenly attributed to another Greek word: καλαῦροψ, ""shepherd's staff"". This erroneous word, in its turn, was transliterated into Latin, then Arabicized with the article al-, then its spelling corrupted, to become ""Alkalurops"", which was thereafter applied as a star name to μ Boo.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Bootes","21/08/2016"
"Alkaphrah","HR 3594","44471","κ UMa","UMa","","Arabic","--","Ursa Major","05/09/2017"
"Alkarab","HR 8905","115623","υ Peg","Peg","","Arabic","--","Pegasus","05/09/2017"
"Alkes","HR 4287","53740","α Crt","Crt","Applied with various spellings since medieval times, from the sci-A constellation name al-ka's, ""the (Wine) Cup,"" for Crater.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Crater","12/09/2016"
"Almaaz","HR 1605","23416","ε Aur","Aur","","--","--","Auriga","01/02/2017"
"Almach","HR 603","9640","γ And","And","The formation of this name begins with the Arabic name for this star: ʿanaq al-ard, ""the Caracal"" (a black-eared feline predator found in the Middle East). The Arabs also gave the name in short form as al-ʿanaq, which became transliterated into Medieval Latin as alamac. in Renaissance times, the derivatin of alamac was erroneously attributed to the assumed Arabic word al-maq (properly al-muq) for ""the boot"" or ""buskin"", rather than to al-ʿanaq. Subsequently the erroneous word, as ""Almaak"" and later ""Almach"" was applied as a star name to γ And, mostly in astronomical works in English. Other, non-English works use the spelling ""Alamak"" derived directly from the Medieval Latin transliteration.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Andromeda","20/07/2016"
"Alnair","HR 8425","109268","α Gru","Gru","Applied in recent times from an abbreviation of its late Arabic name al-nayyir min dhanab al-but, ""the Bright One from the Fish's Tail"" (where a l6th century Arabic astronomer had extended Ptolemy's Southern Fish [Piscis Austrinus] into what is today Grus). The form Al Na'ir was taken from a wrong transliteration (Al Na'ir) of the Arabic adjective al-nayyir, ""the Bright One.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Grus","20/07/2016"
"Alnasl","HR 6746","88635","γ2 Sgr","Sgr","Applied in recent times from its late Arabic name al-nasl, ""the Point,"" in turn an abbreviation of the Arabic Almagest's nasl al-sahm, ""the Point of the Arrow.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sagittarius","21/08/2016"
"Alnilam","HR 1903","26311","ε Ori","Ori","Applied in recent times from the ind-A asterism name al-nizam, ""the String of Pearls,"" for δ, ε, and ζ Ori.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Orion","20/07/2016"
"Alnitak","HR 1948","26727","ζ Ori","Ori","Applied in recent times from an abbreviation of the ind-A asterism name nitaq al-jauza, ""the Belt (or Girdle) of al-jauza,"" for δ, ε, and ζ Ori.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Orion","20/07/2016"
"Alniyat","HR 6084","80112","σ Sco","Sco","Applied in recent times from the ind-A name al-niyat, ""the Arteries"", for σ and τ Sco. α Sco, between the arteries, was the ind-A qalb al'aqrab, ""the Scorpion's Heart"" (all were part of the ind-A Scorpion).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Scorpius","01/02/2017"
"Alphard","HR 3748","46390","α Hya","Hya","Applied in medieval times from its ind-A name al-fard, ""the Solitary One,"" descriptive of this star's standing out among the surrounding dim stars. (See the same word in the plural, with ζ CMa.)","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Hydra","20/07/2016"
"Alphecca","HR 5793","76267","α CrB","CrB","Applied in medieval times from the ind-A asterism name al-fakka, for Corona Borealis. The Arabic name, from the root f-k-k, ""to separate, break up, etc.,"" apparently refers to this asterism's shape: an incomplete circle.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Corona Borealis","20/07/2016"
"Alpheratz","HR 15","677","α And","And","The specific origin of this name is unclear. It may represent a transfer from β Peg, where alferaz and other variants were applied in medieval times as abbreviations for β Peg's Arabic name mankib al-faras, ""the Horse's Shoulder"". Or, it may be from an abbreviation of the name alpheraz id est equus, ""alpheraz, that is, the Horse"", which was applied directly to α And also in medieval times. In any case, Medieval Latin authors confused these two names, their spellings, and their identifications, and the modern application of ""Alpheratz"" to α And comes down to us from late medieval times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Andromeda","30/06/2016"
"Alpherg","HR 437","7097","η Psc","Psc","","Arabic","--","Pisces","01/06/2018"
"Alrakis","HR 6370","83608","μ Dra","Dra","Applied in recent times from its ind-A name al-raqis, ""the Trotting Camel.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Draco","01/02/2017"
"Alrescha","HR 596","9487","α Psc","Psc","From the ind-A lunar mansion name al-risha', ""the Cord,"" for β And. Wrongly transferred to α Psc in recent times. According to a sci-A source, the ind-A al-risha' included, in a larger sense, two curving lines of mostly dim stars in Andromeda and Pisces, meant to attach to the ind-A al-dalw ""the Well Bucket"" (marked by today's Square of Pegasus). It is also possible that this ""cord"" was a remnant of the cord joining the two fish of the older Babylonian zodiac. Indeed, these stars of the cord were alternatively known by the ind-Arabs as al-hut, ""the Fish"" (a single fish), corresponding to what in other cultures was Pisces among the zodiacal signs (and according to this tradition, the Fish's brightest star, β And, was batn al-hut, ""the Fish's Belly"").","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Pisces","21/08/2016"
"Alruba","HR 6618","86782","- Dra","Dra","","Arabic","--","Draco","01/06/2018"
"Alsafi","HR 7462","96100","σ Dra","Dra","","Arabic","--","Draco","30/06/2017"
"Alsciaukat","HR 3275","41075","31 Lyn","Lyn","","Arabic","--","Lynx","30/06/2017"
"Alsephina","HR 3485","42913","δ Vel","Vel","","Arabic","--","Vela","05/09/2017"
"Alshain","HR 7602","98036","β Aql","Aql","Applied in recent times (with a misreading in the second word) from abbreviating the Persian asterism name shahin-i tarazu, ""the Scale Beam,"" for α, β and γ Aql. The Persian name, in turn, was a medieval translation of these stars' ind-A name al-mizan, ""the Balance"" (said to be a popular name for the ind-Arabs' al-nasr al-ti'ir listed under α Aql).","Persian","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Aquila","21/08/2016"
"Alshat","HR 7773","100310","ν Cap","Cap","","Arabic","--","Capricornus","30/06/2017"
"Altair","HR 7557","97649","α Aql","Aql","Applied with various spellings since medieval times, from an abbreviation of its Arabic name al-nars al-ta)ir, ""the Flying Eagle (or Vulture)"", alternatively used as an asterism name for α, β and γ Aql. The name has probable origins among the Babylonians and Sumerians, for whom α Aql was ""the Eagle Star"".","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Aquila","30/06/2016"
"Altais","HR 7310","94376","δ Dra","Dra","Applied in recent times from a misreading of the script for the sci-A constellation name al-tinnin, ""the Serpent,"" as it appeared incorrectly in a late sci-A star catalog, as part of the name for δ Dra. (The incorrect word, al-tais, is a real word in Arabic meaning ""the He-goat,"" however it was never used by the ind-Arabs in stellar nomenclature. Furthermore, in the same Arabic source, in the name of ε Dra [formed parallel to that of δ Dra], the word was correctly written al-tinnin.)","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Draco","21/08/2016"
"Alterf","HR 3773","46750","λ Leo","Leo","Applied in recent times from the ind-A lunar mansion name al-tarf, ""the Glance,"" for κ Cnc and λ Leo, associated with the ind-A asterism al-asad, as if being located on that lion's eyes.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Leo","01/02/2017"
"Aludra","HR 2827","35904","η CMa","CMa","Applied in recent times from the alternative Arabic asterism name al-(udhra, ""the Virginity"", and (udhrat aljauza), ""the Virginity [?] of al-jauza)"", for ε, δ, η and ο2 CMa. The name (udhrat al-jauza), by tying it with the nearly Arabic asterism al-jauza) (today's Orion), may have been an attempt to apply significance to the enigmatic and perhaps older name al-(udhra.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Canis Minor","20/07/2016"
"Alula Australis","HR 4375","55203","ξ UMa","UMa","Applied in recent times from their ind-A name al-qafza al-ula, ""the First Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ursa Major","20/07/2016"
"Alula Borealis","HR 4377","55219","ν UMa","UMa","Applied in recent times from their ind-A name al-qafza al-ula, ""the First Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ursa Major","20/07/2016"
"Alya","HR 7141","92946","θ1 Ser","Ser","From the Arabic word alya, naming the fatty tail of a breed of Eastern sheep. In Renaissance times this word was erroneously proposed as the origin of Alioth, a Medieval Latin name for ε UMa. The erroneous ""Alya"" was applied as a star name to θ Ser in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Serpens","21/08/2016"
"Alzirr","HR 2484","32362","ξ Gem","Gem","","--","--","Gemini","30/06/2017"
"Amadioha","HD 43197","29550","_ CMa","CMa","Amadioha is the god of thunder in Igbo mythology. As well as representing justice, Amadioha is also a god of love, peace and unity.","Igbo","2019 IAU100 NameExoWorlds","Canis Major","17/12/2019"
"Amansinaya","WASP-34","0","_ Crt","Crt","Aman Sinaya is one of the two trinity deities of the Philippine's Tagalog mythology, and is the primordial deity of the ocean and protector of fisherman.","Filipino","2019 IAU100 NameExoWorlds","Crater","17/12/2019"
"Anadolu","WASP-52","0","_ Peg","Peg","Anadolu is the primary homeland of Turkey and refers to the motherland in Turkish culture.","Turkish","2019 IAU100 NameExoWorlds","Pegasus","17/12/2019"
"Ancha","HR 8499","110003","θ Aqr","Aqr","A Latin word meaning ""hip"", used in the Medieval Latin Almagest in describing σ and ι/38 Aqr in the right and left hips, respectively (following an error, for Ptolemy had these stars in ""the buttocks""). The word was applied as a star name to θ Aqr (correctly in Ptolemy's ""right socket of the hip"") in recent times.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Aquarius","12/09/2016"
"Angetenar","HR 850","13288","τ2 Eri","Eri","","--","--","Eridanus","30/06/2017"
"Aniara","HD 102956","57820","_ UMa","UMa","Aniara is the name of a spaceship in the epic poem Aniara by Swedish author Harry Martinson.","fictional","2019 IAU100 NameExoWorlds","Ursa Major","17/12/2019"
"Ankaa","HR 99","2081","α  Phe","Phe","Applied in recent times from the modern Arabic constellation name al-'anqa' (a fabulous bird) for Phoenix.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Phoenix","20/07/2016"
